time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01/09/2018 18:00:00,Jan-09,40859,9359,21428,22.9,43.7,1771.1,23.33905194
01/09/2018 19:00:00,Jan-09,41886,12533,21428,29.9,58.5,3173.8,33.91045124
01/09/2018 20:00:00,Jan-09,41704,14084,21428,33.8,65.7,1550.8,12.37344591
01/09/2018 21:00:00,Jan-09,40834,14831,21428,36.3,69.2,747.2,5.305154664
01/09/2018 22:00:00,Jan-09,39092,14863,21428,38.0,69.4,31.6,0.213382515
01/09/2018 23:00:00,Jan-09,36791,14591,21428,39.7,68.1,-272.2,-1.831489701
01/10/2018 00:00:00,Jan-10,34959,14064,21412,40.2,65.7,-526.5,-3.608494512
01/10/2018 01:00:00,Jan-10,33838,13681,21412,40.4,63.9,-383.7,-2.727840144
01/10/2018 02:00:00,Jan-10,33434,13977,21412,41.8,65.3,296.7,2.16907219
01/10/2018 03:00:00,Jan-10,33583,14045,21412,41.8,65.6,68.0,0.48639669
01/10/2018 04:00:00,Jan-10,33852,14054,21412,41.5,65.6,8.3,0.058926106
01/10/2018 05:00:00,Jan-10,35133,13605,21412,38.7,63.5,-448.8,-3.193727701
01/10/2018 06:00:00,Jan-10,38776,14442,21412,37.2,67.4,836.7,6.150321051
01/10/2018 07:00:00,Jan-10,42302,14516,21412,34.3,67.8,74.3,0.514582393
01/10/2018 08:00:00,Jan-10,41816,14401,21412,34.4,67.3,-115.1,-0.793066296
01/10/2018 09:00:00,Jan-10,41293,13416,21412,32.5,62.7,-984.5,-6.836213125
01/10/2018 10:00:00,Jan-10,41027,12778,21412,31.1,59.7,-637.8,-4.753755796
01/10/2018 11:00:00,Jan-10,40407,14326,21412,35.5,66.9,1547.0,12.1066629
01/10/2018 12:00:00,Jan-10,39645,14858,21412,37.5,69.4,532.2,3.71504483
01/10/2018 13:00:00,Jan-10,38818,14884,21412,38.3,69.5,26.0,0.175105034
01/10/2018 14:00:00,Jan-10,38360,15289,21412,39.9,71.4,404.9,2.720580584
01/10/2018 15:00:00,Jan-10,37412,15299,21412,40.9,71.5,10.7,0.0698473
01/10/2018 16:00:00,Jan-10,37139,15207,21412,40.9,71.0,-91.8,-0.600299428
01/10/2018 17:00:00,Jan-10,37047,14535,21412,39.2,67.9,-672.5,-4.421938486
01/10/2018 18:00:00,Jan-10,39630,15225,21412,38.4,71.1,689.6,4.744681892
01/10/2018 19:00:00,Jan-10,40431,15638,21412,38.7,73.0,413.5,2.716269909
01/10/2018 20:00:00,Jan-10,39864,14121,21412,35.4,66.0,-1516.8,-9.699001919
01/10/2018 21:00:00,Jan-10,38961,14537,21412,37.3,67.9,415.8,2.9441013
01/10/2018 22:00:00,Jan-10,36977,14700,21412,39.8,68.7,163.1,1.121858647
01/10/2018 23:00:00,Jan-10,34314,15263,21412,44.5,71.3,563.2,3.830998012
01/11/2018 00:00:00,Jan-11,32203,14874,21428,46.2,69.4,-389.7,-2.553010166
01/11/2018 01:00:00,Jan-11,30922,14398,21428,46.6,67.2,-475.3,-3.195534299
01/11/2018 02:00:00,Jan-11,30259,13911,21428,46.0,64.9,-487.7,-3.387067774
01/11/2018 03:00:00,Jan-11,30014,13837,21428,46.1,64.6,-74.0,-0.532136253
01/11/2018 04:00:00,Jan-11,30148,13013,21428,43.2,60.7,-824.2,-5.956809931
01/11/2018 05:00:00,Jan-11,31474,11728,21428,37.3,54.7,-1284.0,-9.867775592
01/11/2018 06:00:00,Jan-11,34580,11242,21428,32.5,52.5,-486.5,-4.147800067
01/11/2018 07:00:00,Jan-11,38172,11805,21428,30.9,55.1,563.4,5.01150512
01/11/2018 08:00:00,Jan-11,37979,13276,21428,35.0,62.0,1470.1,12.45268844
01/11/2018 09:00:00,Jan-11,37709,13598,21428,36.1,63.5,322.6,2.430168159
01/11/2018 10:00:00,Jan-11,37733,13925,21428,36.9,65.0,327.3,2.406682159
01/11/2018 11:00:00,Jan-11,37931,14816,21428,39.1,69.1,890.5,6.394738029
01/11/2018 12:00:00,Jan-11,38093,15851,21428,41.6,74.0,1035.4,6.988363614
01/11/2018 13:00:00,Jan-11,38552,16837,21428,43.7,78.6,985.3,6.215639767
01/11/2018 14:00:00,Jan-11,39140,17268,21428,44.1,80.6,431.4,2.562137614
01/11/2018 15:00:00,Jan-11,39678,17174,21428,43.3,80.1,-93.7,-0.542541561
01/11/2018 16:00:00,Jan-11,40856,16887,21428,41.3,78.8,-287.7,-1.675203757
01/11/2018 17:00:00,Jan-11,42265,16368,21428,38.7,76.4,-518.2,-3.068693293
01/11/2018 18:00:00,Jan-11,45104,13447,21428,29.8,62.8,-2921.5,-17.84877274
01/11/2018 19:00:00,Jan-11,46805,12101,21428,25.9,56.5,-1345.7,-10.00751153
01/11/2018 20:00:00,Jan-11,47351,11699,21428,24.7,54.6,-401.6,-3.319005516
01/11/2018 21:00:00,Jan-11,47583,11353,21428,23.9,53.0,-346.0,-2.957261784
